# RC100 Table 3: Galaxy best-fit parameters and characteristics
# Source: Nestor Shachar et al. (2023), ApJ 944, 78 (arXiv:2209.12199)
# Transcribed from rasterized PDF table (pages 27-29) — verify critical values against original paper
# Columns: num, Galaxy, z, FWHM_arcsec, T_int_hrs, delta_log_SFR, log_Mstar, log_Mbaryon, e_log_Mbaryon, log_Mbulge, e_log_Mbulge, Re_kpc, e_Re_kpc, fDM, e_fDM, Vc_kms, e_Vc_kms, sigma0_kms, e_sigma0_kms, log_Mvir_SMHM, log_SigSFR, log_SigDM, e_log_SigDM
num,Galaxy,z,FWHM_arcsec,T_int_hrs,delta_log_SFR,log_Mstar,log_Mbaryon,e_log_Mbaryon,log_Mbulge,e_log_Mbulge,Re_kpc,e_Re_kpc,fDM,e_fDM,Vc_kms,e_Vc_kms,sigma0_kms,e_sigma0_kms,log_Mvir_SMHM,log_SigSFR,log_SigDM,e_log_SigDM
72,U4 36568,2.18,0.52,18.8,0.34,11.05,11.05,0.18,10.97,0.11,3.71,1.38,0.03,0.06,342,68,77,6,12.28,0.84,7.90,1.06
73,zC 407302,2.18,0.27,19.0,0.77,10.39,10.74,0.09,10.44,0.12,4.64,1.16,0.40,0.09,225,45,43,5,11.74,0.70,8.51,0.50
74,GS3 24273,2.19,0.57,15.7,0.31,11.00,11.39,0.10,10.71,0.16,8.89,1.41,0.19,0.13,234,47,80,7,12.40,-0.02,7.93,0.81
75,U4 20704,2.19,0.40,18.9,-0.09,11.16,11.39,0.10,10.71,0.16,5.40,1.27,0.22,0.15,206,41,40,6,11.95,-0.02,8.10,0.86
76,COS4 05433,2.19,0.55,9.4,-0.12,10.60,10.80,0.11,10.50,0.14,5.40,1.27,0.04,0.06,276,55,72,4,11.92,0.61,7.64,0.85
77,zC 406690,2.20,0.30,10.0,0.55,10.62,11.04,0.11,10.64,0.16,5.24,1.41,0.38,0.10,307,61,77,5,12.04,-0.16,8.70,0.61
78,BX610,2.21,0.60,38.0,-0.34,11.00,11.05,0.04,11.00,0.05,4.82,1.21,0.04,0.06,276,55,72,4,11.92,0.61,7.64,0.85
79,K20 ID8,2.22,0.59,10.7,-0.28,10.50,10.70,0.10,10.40,0.13,5.67,1.49,0.16,0.12,168,34,45,7,11.91,-0.35,7.77,0.81
80,U3 10584,2.22,0.61,7.4,0.03,10.50,10.61,0.15,10.31,0.17,6.17,1.44,0.40,0.18,181,36,57,7,11.82,-0.26,8.20,0.73
81,K20 ID7,2.22,0.40,33.0,0.30,10.37,11.04,0.23,9.56,0.64,7.50,1.77,0.65,0.17,282,56,72,5,12.02,-0.24,8.71,0.54
82,U4 13704,2.22,0.49,10.7,-0.14,10.39,10.62,0.19,9.62,0.34,3.59,1.08,0.41,0.21,193,39,39,8,11.83,0.05,8.49,0.82
83,K20 ID5,2.22,0.29,38.0,0.26,11.00,11.18,0.08,11.17,0.08,2.48,1.09,0.07,0.08,174,35,100,16,12.27,1.26,7.82,0.86
84,K20 ID6,2.24,0.40,25.7,0.17,10.43,10.66,0.12,10.13,0.16,5.19,1.10,0.27,0.17,154,31,62,5,11.80,0.07,7.96,0.85
85,zC 400569,2.24,0.25,22.0,0.19,11.08,10.95,0.07,10.79,0.10,4.31,1.31,0.16,0.09,241,48,58,5,12.10,0.61,8.21,0.88
86,BX482,2.26,0.25,18.4,0.20,10.26,10.97,0.17,9.27,0.61,5.98,1.03,0.60,0.15,285,57,71,4,11.98,-0.15,8.78,0.52
